Inserted 5109 records into 'uplinks'.

--- 1. Top 10 devices with highest number of uplinks ---
Device: device-4547, Uplinks: 4
Device: device-4786, Uplinks: 4
Device: device-4604, Uplinks: 4
Device: device-1912, Uplinks: 4
Device: device-1321, Uplinks: 4
Device: device-3413, Uplinks: 4
Device: device-1275, Uplinks: 4
Device: device-1920, Uplinks: 4
Device: device-0626, Uplinks: 4
Device: device-4852, Uplinks: 4

--- 2. Average RSSI and SNR per device (Sorted by lowest RSSI) ---
Device: device-4880, Avg RSSI: -120.00, Avg SNR: 7.57
Gateway: apply-whatever, Avg Temp: 24.13, Avg Humidity: 82.95
Gateway: despite-visit-rate, Avg Temp: 7.61, Avg Humidity: 15.49
Gateway: hair-will-single, Avg Temp: 4.84, Avg Humidity: 70.76
Gateway: result-still, Avg Temp: 6.68, Avg Humidity: 29.42
Gateway: begin-paper-hand, Avg Temp: 19.99, Avg Humidity: 83.54
Gateway: speech-instead, Avg Temp: 11.40, Avg Humidity: 68.39
Gateway: risk-station, Avg Temp: 18.96, Avg Humidity: 17.38
Gateway: north-practice, Avg Temp: 34.90, Avg Humidity: 51.92
Gateway: once-face-weight, Avg Temp: -6.42, Avg Humidity: 55.81
Gateway: individual-behind, Avg Temp: 22.92, Avg Humidity: 23.96
Gateway: turn-author-happen, Avg Temp: -5.11, Avg Humidity: 35.65
Gateway: opportunity-live, Avg Temp: 31.97, Avg Humidity: 46.53
Gateway: home-do-call-seem, Avg Temp: 17.28, Avg Humidity: 50.62
Gateway: month-across-option, Avg Temp: -1.44, Avg Humidity: 30.41
Gateway: front-four-itself, Avg Temp: -9.12, Avg Humidity: 13.74
Gateway: care-under-plant, Avg Temp: 8.29, Avg Humidity: 42.61
Gateway: lay-story-necessary, Avg Temp: 46.99, Avg Humidity: 88.48
Gateway: including-sport, Avg Temp: 31.42, Avg Humidity: 85.11
Gateway: kind-computer, Avg Temp: -4.00, Avg Humidity: 61.90
Gateway: support-base-manage, Avg Temp: -7.69, Avg Humidity: 69.69
Gateway: allow-mouth-there, Avg Temp: 27.23, Avg Humidity: 77.11
Gateway: here-recent-article, Avg Temp: 42.05, Avg Humidity: 47.96
Gateway: idea-meet-agree, Avg Temp: 44.10, Avg Humidity: 71.24
Gateway: customer-light, Avg Temp: 31.35, Avg Humidity: 70.14
Gateway: commercial-family, Avg Temp: -0.36, Avg Humidity: 65.69
Gateway: foreign-lot-wonder, Avg Temp: -2.98, Avg Humidity: 38.97
Gateway: culture-summer, Avg Temp: 36.43, Avg Humidity: 65.56
Gateway: occur-use-lose, Avg Temp: 20.69, Avg Humidity: 38.17
Gateway: style-always-agent, Avg Temp: 46.61, Avg Humidity: 64.25
Gateway: treat-picture, Avg Temp: -3.84, Avg Humidity: 23.06
Gateway: despite-war-wrong, Avg Temp: 16.89, Avg Humidity: 34.67
Gateway: science-six-new, Avg Temp: 21.75, Avg Humidity: 31.59
Gateway: century-anyone-of, Avg Temp: 39.67, Avg Humidity: 51.63
Gateway: those-democratic, Avg Temp: 16.70, Avg Humidity: 63.32
Gateway: still-evening-case, Avg Temp: -4.73, Avg Humidity: 51.56
Gateway: field-road-phone, Avg Temp: -5.93, Avg Humidity: 21.78
Gateway: store-bank-area, Avg Temp: 37.47, Avg Humidity: 18.18
Gateway: system-theory-focus, Avg Temp: 8.80, Avg Humidity: 19.79
Gateway: follow-fly-cut-when, Avg Temp: 44.06, Avg Humidity: 85.34
Gateway: million-own-surface, Avg Temp: 45.41, Avg Humidity: 27.05
Gateway: most-church, Avg Temp: 20.06, Avg Humidity: 65.01
Gateway: evening-where-trade, Avg Temp: 27.23, Avg Humidity: 10.51
Gateway: think-store-bring, Avg Temp: -9.44, Avg Humidity: 19.88
Gateway: and-president-mr, Avg Temp: 44.75, Avg Humidity: 16.44
Gateway: admit-new-education, Avg Temp: 26.41, Avg Humidity: 68.60
Gateway: fill-before-design, Avg Temp: 44.94, Avg Humidity: 12.17
Gateway: today-network-wife, Avg Temp: -2.66, Avg Humidity: 62.11
Gateway: heavy-morning-be, Avg Temp: 48.03, Avg Humidity: 35.41
Gateway: view-ahead-strategy, Avg Temp: 6.00, Avg Humidity: 10.02
Gateway: take-which-sell, Avg Temp: 33.31, Avg Humidity: 84.42
Gateway: power-wish-meeting, Avg Temp: 39.08, Avg Humidity: 85.80
Gateway: individual-after, Avg Temp: 6.49, Avg Humidity: 27.60
Gateway: matter-son-cup, Avg Temp: 24.39, Avg Humidity: 26.84
Gateway: minute-teacher, Avg Temp: 3.77, Avg Humidity: 17.79
Gateway: rule-executive-too, Avg Temp: 47.86, Avg Humidity: 22.82
Gateway: for-i-standard-play, Avg Temp: 46.70, Avg Humidity: 31.69
Gateway: win-report-leg-whom, Avg Temp: -8.44, Avg Humidity: 76.63
Gateway: support-glass, Avg Temp: 14.91, Avg Humidity: 33.66
Gateway: choice-hard-mouth, Avg Temp: 40.59, Avg Humidity: 12.91
Gateway: magazine-star-grow, Avg Temp: 49.36, Avg Humidity: 35.75
Gateway: worker-training, Avg Temp: 39.54, Avg Humidity: 49.81
Gateway: talk-prepare-wrong, Avg Temp: 3.80, Avg Humidity: 64.17
Gateway: paper-same-past, Avg Temp: -7.26, Avg Humidity: 18.37
Gateway: them-note-through, Avg Temp: 11.32, Avg Humidity: 75.05
Gateway: protect-site-behind, Avg Temp: 9.80, Avg Humidity: 32.01
Gateway: fear-owner-herself, Avg Temp: 13.07, Avg Humidity: 26.60
Gateway: view-four, Avg Temp: -5.78, Avg Humidity: 69.82
Gateway: baby-recognize, Avg Temp: 48.41, Avg Humidity: 38.07
Gateway: window-true-forward, Avg Temp: 39.58, Avg Humidity: 52.73
Gateway: learn-pick-know, Avg Temp: 14.51, Avg Humidity: 39.61
Gateway: in-magazine-series, Avg Temp: 5.06, Avg Humidity: 21.08
Gateway: church-peace-act, Avg Temp: 38.16, Avg Humidity: 23.99
Gateway: certain-however, Avg Temp: 2.05, Avg Humidity: 87.10
Gateway: same-spend-western, Avg Temp: 14.72, Avg Humidity: 11.49
Gateway: run-since-believe, Avg Temp: -5.83, Avg Humidity: 30.72
Gateway: baby-per-almost, Avg Temp: 3.65, Avg Humidity: 37.76
Gateway: experience-eye-son, Avg Temp: 40.02, Avg Humidity: 68.35
Gateway: control-light-run, Avg Temp: 4.77, Avg Humidity: 33.60
Gateway: movement-pretty, Avg Temp: 31.45, Avg Humidity: 66.59
Gateway: pay-they-ask, Avg Temp: 46.90, Avg Humidity: 75.42
Gateway: build-firm-or-state, Avg Temp: 4.35, Avg Humidity: 71.11
Gateway: stop-figure-address, Avg Temp: 19.35, Avg Humidity: 34.85
Gateway: base-like-skin, Avg Temp: 32.76, Avg Humidity: 34.11
Gateway: degree-blue-per, Avg Temp: -6.48, Avg Humidity: 11.33
Gateway: investment-single, Avg Temp: 26.27, Avg Humidity: 20.79
Gateway: table-federal, Avg Temp: 37.09, Avg Humidity: 73.40
Gateway: community-writer, Avg Temp: -2.32, Avg Humidity: 76.23
Gateway: guess-tend-skill, Avg Temp: 25.53, Avg Humidity: 40.20
Gateway: subject-since, Avg Temp: -4.17, Avg Humidity: 64.95
Gateway: leader-much-almost, Avg Temp: 22.65, Avg Humidity: 74.29
Gateway: prove-clear-hope, Avg Temp: -8.93, Avg Humidity: 31.85
Gateway: born-style-out, Avg Temp: 7.48, Avg Humidity: 40.60
Gateway: practice-catch, Avg Temp: 47.11, Avg Humidity: 54.61
Gateway: expect-contain, Avg Temp: 44.11, Avg Humidity: 78.90
Gateway: trouble-role, Avg Temp: 15.50, Avg Humidity: 70.58
Gateway: form-degree, Avg Temp: 14.00, Avg Humidity: 48.32
Gateway: establish-model, Avg Temp: -5.12, Avg Humidity: 38.08
Gateway: four-car, Avg Temp: -4.60, Avg Humidity: 83.71
Gateway: rich-form-ball, Avg Temp: 30.67, Avg Humidity: 65.70
Gateway: treatment-perform, Avg Temp: 46.86, Avg Humidity: 10.95
Gateway: court-long-make-get, Avg Temp: 4.90, Avg Humidity: 74.02
Gateway: wait-least-wide, Avg Temp: 25.16, Avg Humidity: 70.37
Gateway: partner-them-win, Avg Temp: 8.88, Avg Humidity: 56.70
Gateway: visit-minute, Avg Temp: 18.69, Avg Humidity: 35.21
Gateway: military-price-item, Avg Temp: 40.57, Avg Humidity: 88.04
Gateway: soon-glass-apply, Avg Temp: 1.37, Avg Humidity: 61.02
Gateway: present-actually, Avg Temp: 0.83, Avg Humidity: 23.67
Gateway: finally-local-heavy, Avg Temp: 27.18, Avg Humidity: 74.92
Gateway: economic-argue-cold, Avg Temp: 31.23, Avg Humidity: 86.51
Gateway: suffer-response, Avg Temp: -5.67, Avg Humidity: 68.12
Gateway: life-chair-still, Avg Temp: 9.47, Avg Humidity: 75.17
Gateway: everything-see-tax, Avg Temp: 28.65, Avg Humidity: 48.37
Gateway: audience-describe, Avg Temp: -8.16, Avg Humidity: 50.03
Gateway: method-politics, Avg Temp: 25.70, Avg Humidity: 64.28
Gateway: dark-scientist, Avg Temp: 18.00, Avg Humidity: 26.13
Gateway: center-start, Avg Temp: 37.66, Avg Humidity: 61.89
Gateway: long-foreign, Avg Temp: 25.05, Avg Humidity: 21.74
Gateway: nor-soldier-down, Avg Temp: 20.44, Avg Humidity: 71.41
Gateway: movie-some-follow, Avg Temp: 14.09, Avg Humidity: 46.92
Gateway: minute-trial-why, Avg Temp: -9.77, Avg Humidity: 25.12
Gateway: business-show-new, Avg Temp: 19.36, Avg Humidity: 59.00
Gateway: particular-he-then, Avg Temp: -2.01, Avg Humidity: 10.71
Gateway: former-western, Avg Temp: 39.31, Avg Humidity: 59.28
Gateway: lot-security-push, Avg Temp: -2.48, Avg Humidity: 22.95
Gateway: medical-mission, Avg Temp: -9.18, Avg Humidity: 88.70
Gateway: south-project, Avg Temp: 9.92, Avg Humidity: 11.15
Gateway: article-structure, Avg Temp: 20.50, Avg Humidity: 57.76
Gateway: worry-a-something, Avg Temp: 26.65, Avg Humidity: 67.22
Gateway: plant-yard-seem, Avg Temp: 37.83, Avg Humidity: 20.80
Gateway: he-your-without, Avg Temp: 35.83, Avg Humidity: 85.38
Gateway: present-everybody, Avg Temp: 40.49, Avg Humidity: 58.24
Gateway: magazine-blood-arm, Avg Temp: 5.47, Avg Humidity: 78.69
Gateway: fear-scene-own, Avg Temp: 17.69, Avg Humidity: 71.27
Gateway: personal-trouble, Avg Temp: 8.05, Avg Humidity: 60.58
Gateway: campaign-similar, Avg Temp: 32.74, Avg Humidity: 35.19
Gateway: mention-key-land, Avg Temp: 23.86, Avg Humidity: 87.88
Gateway: commercial-student, Avg Temp: 28.29, Avg Humidity: 64.09
Gateway: have-make-available, Avg Temp: 4.70, Avg Humidity: 26.81
Gateway: goal-current-level, Avg Temp: 33.16, Avg Humidity: 82.75
Gateway: kitchen-important, Avg Temp: 48.57, Avg Humidity: 27.77
Gateway: risk-boy-girl-enjoy, Avg Temp: 39.79, Avg Humidity: 63.44
Gateway: pay-accept-enter, Avg Temp: 41.37, Avg Humidity: 85.53
Gateway: boy-ahead-audience, Avg Temp: 42.54, Avg Humidity: 57.38
Gateway: put-former-edge, Avg Temp: 0.37, Avg Humidity: 25.49
Gateway: rule-show-forward, Avg Temp: 6.75, Avg Humidity: 50.21
Gateway: body-above-by, Avg Temp: -5.13, Avg Humidity: 60.16
Gateway: big-feel-than-east, Avg Temp: 12.57, Avg Humidity: 58.04
Gateway: garden-until-dog, Avg Temp: 13.11, Avg Humidity: 38.60
Gateway: like-say-all-avoid, Avg Temp: 45.93, Avg Humidity: 28.32
Gateway: development-billion, Avg Temp: 21.81, Avg Humidity: 31.34
Gateway: region-number, Avg Temp: 20.40, Avg Humidity: 49.44
Gateway: cell-dark-student, Avg Temp: 37.38, Avg Humidity: 81.62
Gateway: professional-lawyer, Avg Temp: 30.81, Avg Humidity: 66.17
Gateway: again-check-method, Avg Temp: 9.29, Avg Humidity: 67.81
Gateway: how-condition-game, Avg Temp: 20.70, Avg Humidity: 53.84
Gateway: become-soon-all, Avg Temp: 24.79, Avg Humidity: 64.56
Gateway: voice-likely-almost, Avg Temp: 19.77, Avg Humidity: 27.62
Gateway: skin-start-close, Avg Temp: -2.78, Avg Humidity: 38.47
Gateway: similar-follow, Avg Temp: 39.83, Avg Humidity: 36.87
Gateway: herself-chair-leave, Avg Temp: 26.14, Avg Humidity: 42.06
Gateway: their-unit-police, Avg Temp: -8.33, Avg Humidity: 39.50
Gateway: test-down-health, Avg Temp: 37.30, Avg Humidity: 25.71
Gateway: yet-author-standard, Avg Temp: 35.33, Avg Humidity: 27.91
Gateway: war-personal-lawyer, Avg Temp: 47.10, Avg Humidity: 88.65
Gateway: throw-discussion, Avg Temp: 25.67, Avg Humidity: 31.98
Gateway: alone-rich-push, Avg Temp: 45.35, Avg Humidity: 28.49
Gateway: water-rather-full, Avg Temp: 45.39, Avg Humidity: 65.70
Gateway: rich-rich-the-left, Avg Temp: 11.69, Avg Humidity: 54.81
Gateway: land-experience, Avg Temp: 14.76, Avg Humidity: 54.55
Gateway: cost-mean-speak, Avg Temp: 2.05, Avg Humidity: 85.37
Gateway: letter-operation, Avg Temp: 47.42, Avg Humidity: 60.61
Gateway: industry-them, Avg Temp: 27.64, Avg Humidity: 48.63
Gateway: individual, Avg Temp: -9.24, Avg Humidity: 51.15
Gateway: inside-plant-news, Avg Temp: 23.19, Avg Humidity: 49.73
Gateway: tend-above-high, Avg Temp: 13.99, Avg Humidity: 12.95
Gateway: firm-need-idea, Avg Temp: -8.48, Avg Humidity: 13.08
Gateway: alone-go-bar-artist, Avg Temp: 25.90, Avg Humidity: 36.69
Gateway: dinner-drop-three, Avg Temp: 49.46, Avg Humidity: 13.66
Gateway: image-one-instead, Avg Temp: 29.72, Avg Humidity: 73.36
Gateway: spend-student-next, Avg Temp: 38.89, Avg Humidity: 75.79
Gateway: save-positive-pay, Avg Temp: 13.01, Avg Humidity: 23.45
Gateway: information-really, Avg Temp: 23.57, Avg Humidity: 47.75
Gateway: rich-interesting, Avg Temp: 3.68, Avg Humidity: 84.62
Gateway: measure-whom-talk, Avg Temp: 21.59, Avg Humidity: 67.48
Gateway: station-firm-whose, Avg Temp: 38.52, Avg Humidity: 73.77
Gateway: wonder-yourself, Avg Temp: 8.46, Avg Humidity: 78.48
Gateway: of-eye-answer-i, Avg Temp: 10.44, Avg Humidity: 86.32
Gateway: walk-trip-now-price, Avg Temp: 42.58, Avg Humidity: 22.70
Gateway: discover-himself, Avg Temp: 24.98, Avg Humidity: 80.48
Gateway: skill-education, Avg Temp: 14.92, Avg Humidity: 88.80
Gateway: opportunity-view, Avg Temp: -8.62, Avg Humidity: 40.90
Gateway: look-night-debate, Avg Temp: 40.66, Avg Humidity: 73.42
Gateway: business-dark-floor, Avg Temp: 34.01, Avg Humidity: 38.29
Gateway: personal-accept, Avg Temp: -2.81, Avg Humidity: 38.62
Gateway: happen-fund-believe, Avg Temp: 10.24, Avg Humidity: 68.32
Gateway: full-center-last, Avg Temp: 23.60, Avg Humidity: 41.84
Gateway: size-little-of, Avg Temp: 12.58, Avg Humidity: 34.85
Gateway: play-office-threat, Avg Temp: 45.01, Avg Humidity: 69.54
Gateway: main-land-tend-game, Avg Temp: 26.98, Avg Humidity: 77.49
Gateway: analysis-glass-wish, Avg Temp: 5.42, Avg Humidity: 55.57
Gateway: others-fire-she, Avg Temp: 13.01, Avg Humidity: 62.18
Gateway: they-city-country, Avg Temp: -8.04, Avg Humidity: 78.03
Gateway: event-sign-data, Avg Temp: 43.41, Avg Humidity: 20.75
Gateway: against-government, Avg Temp: -8.57, Avg Humidity: 43.60
Gateway: also-listen, Avg Temp: 6.44, Avg Humidity: 75.57
Gateway: her-language-sport, Avg Temp: 32.01, Avg Humidity: 67.08
Gateway: media-guess-region, Avg Temp: 14.79, Avg Humidity: 23.18
Gateway: remember-challenge, Avg Temp: -6.27, Avg Humidity: 10.41
Gateway: again-or-service, Avg Temp: 25.28, Avg Humidity: 67.03
Gateway: social-we-rather, Avg Temp: 36.19, Avg Humidity: 53.08
Gateway: important-thing, Avg Temp: -6.87, Avg Humidity: 82.86
Gateway: kitchen-central, Avg Temp: 40.19, Avg Humidity: 47.92
Gateway: course-keep-color, Avg Temp: 13.39, Avg Humidity: 28.65
Gateway: blue-guess-physical, Avg Temp: -4.00, Avg Humidity: 11.24
Gateway: piece-west-six, Avg Temp: 20.52, Avg Humidity: 41.59
Gateway: again-because, Avg Temp: 3.21, Avg Humidity: 88.20
Gateway: trouble-commercial, Avg Temp: 30.48, Avg Humidity: 53.30
Gateway: dark-can-side, Avg Temp: -2.93, Avg Humidity: 31.38
Gateway: table-race-guess, Avg Temp: 39.72, Avg Humidity: 65.94
Gateway: fish-office-walk, Avg Temp: 1.27, Avg Humidity: 74.04
Gateway: meeting-station-we, Avg Temp: 4.94, Avg Humidity: 77.55
Gateway: consumer-foot-class, Avg Temp: -9.55, Avg Humidity: 39.92
Gateway: military-impact, Avg Temp: 49.72, Avg Humidity: 74.63
Gateway: agent-age-player, Avg Temp: -5.29, Avg Humidity: 44.00
Gateway: necessary-couple, Avg Temp: 37.36, Avg Humidity: 47.51
Gateway: indicate-ground, Avg Temp: 41.65, Avg Humidity: 11.94
Gateway: data-stuff-from, Avg Temp: 18.03, Avg Humidity: 57.90
Gateway: whose-serious-yet, Avg Temp: 27.24, Avg Humidity: 20.42
Gateway: idea-ten-keep-hotel, Avg Temp: 16.01, Avg Humidity: 50.46
Gateway: outside-often-other, Avg Temp: 14.00, Avg Humidity: 12.92
Gateway: laugh-them-prevent, Avg Temp: 16.87, Avg Humidity: 15.57
Gateway: heavy-worry-house, Avg Temp: 45.91, Avg Humidity: 51.72
Gateway: investment, Avg Temp: 36.10, Avg Humidity: 49.81
Gateway: good-tax, Avg Temp: 11.58, Avg Humidity: 24.37
Gateway: although-explain, Avg Temp: 19.59, Avg Humidity: 20.95
Gateway: suddenly-affect, Avg Temp: 18.26, Avg Humidity: 48.11
Gateway: memory-vote-control, Avg Temp: 29.90, Avg Humidity: 70.89
Gateway: account-add-threat, Avg Temp: 28.82, Avg Humidity: 41.82
Gateway: ball-form-tonight, Avg Temp: 21.98, Avg Humidity: 20.63
Gateway: including-impact, Avg Temp: 38.07, Avg Humidity: 81.87
Gateway: on-play-the-find, Avg Temp: 22.97, Avg Humidity: 26.92
Gateway: director-fall, Avg Temp: 15.22, Avg Humidity: 69.77
Gateway: movie-risk-cold, Avg Temp: 47.66, Avg Humidity: 89.90
Gateway: throw-remember, Avg Temp: 47.35, Avg Humidity: 57.77
Gateway: although-realize, Avg Temp: 33.95, Avg Humidity: 36.64
Gateway: around-born-feel, Avg Temp: 22.80, Avg Humidity: 39.76
Gateway: able-lose-life-half, Avg Temp: 39.45, Avg Humidity: 22.59
Gateway: student-despite, Avg Temp: 40.16, Avg Humidity: 50.37
Gateway: get-rate-along, Avg Temp: 25.84, Avg Humidity: 19.58
Gateway: agent-anything-past, Avg Temp: 4.56, Avg Humidity: 80.40
Gateway: according-really, Avg Temp: 25.52, Avg Humidity: 83.58
Gateway: system-continue, Avg Temp: 17.91, Avg Humidity: 54.16
Gateway: difference-task, Avg Temp: 26.98, Avg Humidity: 66.63
Gateway: minute-great, Avg Temp: -7.90, Avg Humidity: 43.23
Gateway: take-three-figure, Avg Temp: 39.64, Avg Humidity: 81.60
Gateway: at-thus-player, Avg Temp: 15.30, Avg Humidity: 78.54
Gateway: trade-entire-hard, Avg Temp: 10.12, Avg Humidity: 25.16
Gateway: team-onto-research, Avg Temp: 18.26, Avg Humidity: 89.25
Gateway: wonder-may-simple, Avg Temp: 38.67, Avg Humidity: 66.13
Gateway: east-product, Avg Temp: 37.91, Avg Humidity: 45.95
Gateway: shoulder-decade, Avg Temp: 6.69, Avg Humidity: 11.54
Gateway: material-data, Avg Temp: 47.95, Avg Humidity: 26.95
Gateway: treatment-trial, Avg Temp: 23.59, Avg Humidity: 81.87
Gateway: serve-still-himself, Avg Temp: -1.20, Avg Humidity: 17.68
Gateway: turn-analysis, Avg Temp: 9.40, Avg Humidity: 26.15
Gateway: finally-mission, Avg Temp: 27.99, Avg Humidity: 79.89
Gateway: way-effort-edge, Avg Temp: -6.49, Avg Humidity: 46.11
Gateway: involve-century, Avg Temp: 9.45, Avg Humidity: 80.06
Gateway: challenge-girl, Avg Temp: 42.60, Avg Humidity: 34.16
Gateway: beyond-face, Avg Temp: 29.03, Avg Humidity: 52.04
Gateway: their-operation, Avg Temp: 42.70, Avg Humidity: 30.51
Gateway: protect-back, Avg Temp: 48.95, Avg Humidity: 75.06
Gateway: news-democrat-guess, Avg Temp: 1.03, Avg Humidity: 23.99
Gateway: compare-east-simply, Avg Temp: 48.24, Avg Humidity: 43.18
Gateway: compare-result, Avg Temp: -8.77, Avg Humidity: 59.74
Gateway: join-what-official, Avg Temp: 17.08, Avg Humidity: 37.02
Gateway: explain-it-star, Avg Temp: 16.29, Avg Humidity: 22.32
Gateway: end-exist-yourself, Avg Temp: -3.23, Avg Humidity: 32.43
Gateway: not-tell-cultural, Avg Temp: 45.71, Avg Humidity: 12.72
Gateway: will-worker-writer, Avg Temp: 40.98, Avg Humidity: 14.26
Gateway: ball-forget-child, Avg Temp: 2.11, Avg Humidity: 60.07
Gateway: country-deep-group, Avg Temp: -6.19, Avg Humidity: 23.78
Gateway: clearly-letter-tell, Avg Temp: 16.18, Avg Humidity: 19.63
Gateway: later-effect, Avg Temp: 43.66, Avg Humidity: 60.09
Gateway: trouble-pressure, Avg Temp: 18.73, Avg Humidity: 68.91
Gateway: expect-old-by-one, Avg Temp: 28.11, Avg Humidity: 45.68
Gateway: per-kind-play, Avg Temp: -0.54, Avg Humidity: 16.77
Gateway: democratic-level, Avg Temp: 33.69, Avg Humidity: 73.18
Gateway: skill-feel-seem, Avg Temp: 13.56, Avg Humidity: 60.83
Gateway: involve-law-hot, Avg Temp: 8.10, Avg Humidity: 39.73
Gateway: may-still-politics, Avg Temp: 22.71, Avg Humidity: 83.89
Gateway: yet-man-state-data, Avg Temp: 48.13, Avg Humidity: 83.34
Gateway: determine-market, Avg Temp: 38.04, Avg Humidity: 72.35
Gateway: base-tax-friend, Avg Temp: 48.08, Avg Humidity: 29.21
Gateway: study-let, Avg Temp: 0.10, Avg Humidity: 78.18
Gateway: near-finally-line, Avg Temp: 33.30, Avg Humidity: 88.50
Gateway: sister-where-court, Avg Temp: -6.57, Avg Humidity: 81.34
Gateway: per-sound-respond, Avg Temp: 32.22, Avg Humidity: 73.13
Gateway: site-sign-stage, Avg Temp: 37.65, Avg Humidity: 28.88
Gateway: though-gas-when, Avg Temp: 37.10, Avg Humidity: 19.81
Gateway: require-old-stuff, Avg Temp: 44.94, Avg Humidity: 50.85
Gateway: edge-middle-tax, Avg Temp: 44.76, Avg Humidity: 85.23
Gateway: during-better-often, Avg Temp: 43.21, Avg Humidity: 80.10
Gateway: eye-watch-wish-type, Avg Temp: 16.27, Avg Humidity: 28.55
Gateway: matter-want, Avg Temp: -0.33, Avg Humidity: 85.48
Gateway: among-wait-present, Avg Temp: 9.23, Avg Humidity: 86.61
Gateway: pressure-society, Avg Temp: 43.70, Avg Humidity: 14.87
Gateway: one-matter-to-must, Avg Temp: 48.04, Avg Humidity: 47.88
Gateway: relationship-piece, Avg Temp: 14.03, Avg Humidity: 25.56
Gateway: authority-attack, Avg Temp: 22.97, Avg Humidity: 33.96
Gateway: employee-practice, Avg Temp: -7.54, Avg Humidity: 89.54
Gateway: your-receive-play, Avg Temp: 45.91, Avg Humidity: 32.83
Gateway: improve-chance, Avg Temp: 18.81, Avg Humidity: 61.57
Gateway: material-while, Avg Temp: 37.23, Avg Humidity: 68.54
Gateway: color-much-fish, Avg Temp: 1.76, Avg Humidity: 23.43
Gateway: today-process-worry, Avg Temp: 34.41, Avg Humidity: 89.17
Gateway: home-provide-third, Avg Temp: 47.70, Avg Humidity: 61.01
Gateway: everyone-drug, Avg Temp: 20.36, Avg Humidity: 43.17
Gateway: close-single-role, Avg Temp: -0.67, Avg Humidity: 83.00
Gateway: it-down-culture, Avg Temp: 42.95, Avg Humidity: 40.10
Gateway: its-bring-manager, Avg Temp: 43.62, Avg Humidity: 10.91
Gateway: blue-event-should, Avg Temp: -6.05, Avg Humidity: 81.90
Gateway: network-product, Avg Temp: 17.47, Avg Humidity: 82.60
Gateway: campaign-they-wind, Avg Temp: 21.72, Avg Humidity: 85.07
Gateway: pattern-explain, Avg Temp: 19.87, Avg Humidity: 44.91
Gateway: positive-these, Avg Temp: -4.85, Avg Humidity: 38.61
Gateway: although-want-rock, Avg Temp: 48.14, Avg Humidity: 88.21
Gateway: ready-especially, Avg Temp: 17.66, Avg Humidity: 73.60
Gateway: what-read-task, Avg Temp: 3.74, Avg Humidity: 30.64
Gateway: general-so-begin, Avg Temp: -7.65, Avg Humidity: 63.97
Gateway: into-eat, Avg Temp: 40.76, Avg Humidity: 26.06
Gateway: necessary, Avg Temp: 13.05, Avg Humidity: 20.05
Gateway: strong-ok-account, Avg Temp: 43.70, Avg Humidity: 79.02
Gateway: car-month-we-buy, Avg Temp: 25.87, Avg Humidity: 82.38
Gateway: it-me-her-matter, Avg Temp: 33.22, Avg Humidity: 26.23
Gateway: none-why-since, Avg Temp: 1.87, Avg Humidity: 65.21
Gateway: religious-involve, Avg Temp: 47.66, Avg Humidity: 53.90
Gateway: charge-green-about, Avg Temp: 35.09, Avg Humidity: 11.77
Gateway: rate-writer-guess, Avg Temp: 49.30, Avg Humidity: 60.01
Gateway: team-reflect-market, Avg Temp: 47.73, Avg Humidity: 52.94
Gateway: whose-wide, Avg Temp: 5.06, Avg Humidity: 32.30
Gateway: stand-same-thousand, Avg Temp: -5.35, Avg Humidity: 62.50
Gateway: election-agree, Avg Temp: 3.15, Avg Humidity: 33.56
Gateway: family-along-show, Avg Temp: 3.57, Avg Humidity: 66.41
Gateway: visit-everyone, Avg Temp: 27.54, Avg Humidity: 28.04
Gateway: sound-region-allow, Avg Temp: 47.69, Avg Humidity: 66.03
Gateway: box-really-what, Avg Temp: 30.46, Avg Humidity: 61.70
Gateway: hair-tonight-middle, Avg Temp: -9.24, Avg Humidity: 56.14
Gateway: form-white-tax, Avg Temp: 3.04, Avg Humidity: 36.06
Gateway: he-stop-single, Avg Temp: -2.00, Avg Humidity: 13.55
Gateway: cause-stand-let, Avg Temp: 41.14, Avg Humidity: 16.83
Gateway: fall-catch-until, Avg Temp: 16.25, Avg Humidity: 43.29
Gateway: dinner-enter-final, Avg Temp: -0.79, Avg Humidity: 12.33
Gateway: mouth-about-take, Avg Temp: 31.58, Avg Humidity: 65.69
Gateway: fill-east-research, Avg Temp: -2.64, Avg Humidity: 69.74
Gateway: despite-season, Avg Temp: -3.19, Avg Humidity: 81.65
Gateway: ten-general-eye-can, Avg Temp: 46.10, Avg Humidity: 89.14
Gateway: war-human-paper, Avg Temp: -7.61, Avg Humidity: 78.51
Gateway: sort-outside-vote, Avg Temp: -1.04, Avg Humidity: 81.47
Gateway: itself-throw, Avg Temp: 2.38, Avg Humidity: 19.72
Gateway: pretty-pattern-born, Avg Temp: 35.54, Avg Humidity: 88.20
Gateway: land-risk-phone, Avg Temp: -3.76, Avg Humidity: 31.89
Gateway: else-kind-list-left, Avg Temp: 49.54, Avg Humidity: 11.21
Gateway: risk-leg-of-it, Avg Temp: 40.98, Avg Humidity: 28.72
Gateway: indeed-president, Avg Temp: 35.57, Avg Humidity: 66.24
Gateway: create-budget, Avg Temp: -0.40, Avg Humidity: 52.15
Gateway: third-store-suffer, Avg Temp: 49.59, Avg Humidity: 49.15
Gateway: age-she-top-war, Avg Temp: 44.43, Avg Humidity: 57.05
Gateway: industry-different, Avg Temp: 17.58, Avg Humidity: 27.13
